0.000000000000000e+00 3.067961575771282e-03
3.067961575771282e-03 6.135923151542565e-03
6.135923151542565e-03 9.203884727313847e-03
9.203884727313847e-03 1.227184630308513e-02
1.227184630308513e-02 1.533980787885641e-02
1.533980787885641e-02 1.840776945462769e-02
1.840776945462769e-02 2.147573103039898e-02
2.147573103039898e-02 2.454369260617026e-02
2.454369260617026e-02 2.761165418194154e-02
2.761165418194154e-02 3.067961575771282e-02
3.067961575771282e-02 3.374757733348410e-02
3.374757733348410e-02 3.681553890925539e-02
3.681553890925539e-02 3.988350048502667e-02
3.988350048502667e-02 4.295146206079795e-02
4.295146206079795e-02 4.601942363656923e-02
4.601942363656923e-02 4.908738521234052e-02
4.908738521234052e-02 5.522330836388308e-02
5.522330836388308e-02 6.135923151542565e-02
6.135923151542565e-02 6.749515466696820e-02
6.749515466696820e-02 7.363107781851078e-02
7.363107781851078e-02 7.669903939428206e-02
7.669903939428206e-02 7.976700097005335e-02
7.976700097005335e-02 8.283496254582462e-02
8.283496254582462e-02 8.590292412159591e-02
8.590292412159591e-02 8.897088569736719e-02
8.897088569736719e-02 9.203884727313846e-02
9.203884727313846e-02 9.510680884890975e-02
9.510680884890975e-02 9.817477042468103e-02
9.817477042468103e-02 1.012427320004523e-01
1.012427320004523e-01 1.043106935762236e-01
1.043106935762236e-01 1.073786551519949e-01
1.073786551519949e-01 1.104466167277662e-01
1.104466167277662e-01 1.135145783035375e-01
1.135145783035375e-01 1.165825398793087e-01
1.165825398793087e-01 1.196505014550800e-01
1.196505014550800e-01 1.227184630308513e-01
1.227184630308513e-01 1.257864246066226e-01
1.257864246066226e-01 1.288543861823939e-01
1.288543861823939e-01 1.319223477581651e-01
1.319223477581651e-01 1.349903093339364e-01
1.349903093339364e-01 1.380582709097077e-01
1.380582709097077e-01 1.411262324854790e-01
1.411262324854790e-01 1.441941940612503e-01
1.441941940612503e-01 1.472621556370216e-01
1.472621556370216e-01 1.503301172127928e-01
1.503301172127928e-01 1.533980787885641e-01
1.533980787885641e-01 1.564660403643354e-01
1.564660403643354e-01 1.595340019401067e-01
1.595340019401067e-01 1.626019635158780e-01
1.626019635158780e-01 1.656699250916492e-01
1.656699250916492e-01 1.687378866674205e-01
1.687378866674205e-01 1.718058482431918e-01
1.718058482431918e-01 1.748738098189631e-01
1.748738098189631e-01 1.779417713947344e-01
1.779417713947344e-01 1.840776945462769e-01
1.840776945462769e-01 1.902136176978195e-01
1.902136176978195e-01 1.963495408493621e-01
1.963495408493621e-01 1.994175024251333e-01
1.994175024251333e-01 2.024854640009046e-01
2.024854640009046e-01 2.055534255766759e-01
2.055534255766759e-01 2.086213871524472e-01
2.086213871524472e-01 2.116893487282185e-01
2.116893487282185e-01 2.147573103039898e-01
2.147573103039898e-01 2.178252718797610e-01
2.178252718797610e-01 2.208932334555323e-01
2.208932334555323e-01 2.239611950313036e-01
2.239611950313036e-01 2.270291566070749e-01
2.270291566070749e-01 2.300971181828462e-01
2.300971181828462e-01 2.331650797586174e-01
2.331650797586174e-01 2.362330413343887e-01
2.362330413343887e-01 2.393010029101600e-01
2.393010029101600e-01 2.423689644859313e-01
2.423689644859313e-01 2.454369260617026e-01
2.454369260617026e-01 2.485048876374739e-01
2.485048876374739e-01 2.515728492132452e-01
2.515728492132452e-01 2.546408107890165e-01
2.546408107890165e-01 2.577087723647877e-01
2.577087723647877e-01 2.607767339405590e-01
